category_code,section,diagram,group_code,group_name,oem_number,quantity,production_period,applies_for_models,notes,donor_engine_tokens,confidence_statement,required_verification
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,22680,METER ASSEMBLY-AIR FLOW,22680AA190,01,02.1997 - 11.1998,*EJ20E +EJ25D,L/J KS K0 K1,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,46022*A,CUSHION-AIR CLEANER,46060AA010,01,02.1997 - 08.1997,*EJ20E +EJ25D,L/J NO.1,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,46022*A,CUSHION-AIR CLEANER,46060AC050,01,02.1997 - 11.1998,*EJ20E +EJ25D,FOR L/J NO.1,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,46022*A,CUSHION-AIR CLEANER,46060AC020,01,09.1997 - 11.1998,*EJ20E +EJ25D,L/J NO.1,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,16546,ELEMENT-AIR CLEANER,16546AA020,01,02.1997 - 11.1998,*EJ20E +EJ25D,L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,46083,SPACER,46061FA000,02,02.1997 - 11.1998,*EJ20E +EJ25D,L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,46022*B,CUSHION-AIR CLEANER,46060FA000,02,02.1997 - 08.1997,*EJ20E +EJ25D,L/J NO.2,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,46022*B,CUSHION-AIR CLEANER,46060AC030,02,09.1997 - 11.1998,*EJ20E +EJ25D,L/J NO.2,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,46063,CLAMP,746056120,02,02.1997 - 11.1998,*EJ20E +EJ25D,L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
070,Engine Auxiliaries,AIR CLEANER & ELEMENT,46052A,"CASE COMPLETE-AIR CLEANER,LOWER",46053AC080,01,02.1997 - 11.1998,*EJ20E +EJ25D,L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
071,Engine Auxiliaries,AIR INTAKE,46040,CHAMBER ASSEMBLY,46032AC080,01,02.1997 - 04.1998,*EJ20E +EJ25D,FOR L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
071,Engine Auxiliaries,AIR INTAKE,46040,CHAMBER ASSEMBLY,46040AE020,01,05.1998 - 11.1998,*EJ20E +EJ25D,FOR L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
071,Engine Auxiliaries,AIR INTAKE,N600009,NUT,902600009,02,02.1997 - 11.1998,*EJ20E +EJ25D,L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
071,Engine Auxiliaries,AIR INTAKE,46022B,CUSHION-CHAMBER,46060AC010,02,02.1997 - 02.1998,*EJ20E +EJ25D,FOR L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
071,Engine Auxiliaries,AIR INTAKE,46022B,CUSHION-CHAMBER,46022AE010,01,03.1998 - 11.1998,*EJ20E +EJ25D,FOR L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
071,Engine Auxiliaries,AIR INTAKE,M000149,FLANGE BOLT,901000149,02,02.1997 - 11.1998,*EJ20E +EJ25D,L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
071,Engine Auxiliaries,AIR INTAKE,57785A,BOLT-BUMPER,57719PA040,01,02.1997 - 11.1998,*EJ20E +EJ25D,L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
071,Engine Auxiliaries,AIR INTAKE,46012A,DUCT-OUTLET,46021AC020,01,02.1997 - 11.1998,*EJ20E +EJ25D,L/J,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23343,"SWITCH ASSEMBLY-MAGNETIC,STARTER",23343AA160,01,02.1997 - 11.1998,,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23309,YOKE ASSEMBLY-STARTER,23309AA210,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,C01011,NUT,802010110,01,02.1997 - 04.1998,,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,D01012,WASHER,803010120,01,05.1998 - 11.1998,10.5X18X2.0,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23300,STARTER MOTOR ASSEMBLY,23300AA380,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23480,SCREW SET-STARTER,23480AA000,01,02.1997 - 11.1998,,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23351,GEAR ASSEMBLY-STARTER,23351AA000,03,02.1997 - 11.1998,,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23322,LEVER SET-STARTER,23322AA010,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23339,THROUGH BOLT-STARTER,23339AA100,02,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23329,"SHAFT ASSEMBLY-GEAR,STARTER",23329AA020,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23334,INTERNAL GEAR ASSEMBLY-STARTER,23334AA030,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23319,"SLEEVE BEARING-FRONT,STARTER",23319AA000,01,02.1997 - 11.1998,,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23328,SHAFT ASSEMBLY-STARTER,23328AA070,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23312,OVER RUNNING CLUTCH COMPLETE-STARTER,23312AA051,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23310,ARMATURE ASSEMBLY-STARTER,23310AA080,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23318,HOUSING ASSEMBLY-STARTER,23318AA130,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23337,COVER ASSEMBLY-STARTER,23337AA070,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23465,"STOPPER SET-PINION,STARTER",23465AA000,01,02.1997 - 11.1998,,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23320,RADIAL BALL BEARING-STARTER,23320AA000,01,02.1997 - 11.1998,,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23330,CONNECTOR-BRUSH HOLDER ASSEMBLY,23330AA000,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23383,PACKING-STARTER,23383AA010,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23326,"BALL-SHIFT LEVER,STARTER",23326AA000,01,02.1997 - 11.1998,,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
093,Engine Electrical,STARTER,23386,BRUSH SET-STARTER,23386AA000,01,02.1997 - 11.1998,,2W.MT.(EJ18E+EJ20E) +LX.EJ20E.A/S +MT.EJ25D,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23712,STATOR ASSEMBLY-ALTERNATOR,23712AA090,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23708,ROTOR ASSEMBLY-ALTERNATOR,23708AA170,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23700,ALTERNATOR ASSEMBLY,23700AA350,01,A2T3739A,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,L/J,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23700,ALTERNATOR ASSEMBLY,23700AA36A,01,MI:A2T3739AC,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,L/A,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23721B,"RADIAL BALL BEARING-ALTERNATOR,B",23721AA040,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23718,FRONT COVER ASSEMBLY-ALTERNATOR,23718AA090,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23797,BUSHING SET-ALTERNATOR,23797AA020,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23721,RADIAL BALL BEARING-ALTERNATOR,23721AA100,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23759A*B,"SCREW SET-ALTERNATOR,A",23759KA040,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,NO.2,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23759A*A,"SCREW SET-ALTERNATOR,A",23759KA030,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,NO.1,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23815,REGULATOR-ALTERNATOR,23815AA090,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23754,BRUSH SET-ALTERNATOR,23754AA010,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23752,PULLEY-ALTERNATOR,23752AA050,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23830,DIODE ASSEMBLY-ALTERNATOR,23830AA170,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23745,NUT-ALTERNATOR,23745AA000,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23755,PULLEY NUT SET-ALTERNATOR,23755AA030,*,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
094,Engine Electrical,ALTERNATOR,23727,REAR COVER ASSEMBLY-ALTERNATOR,23727AA180,01,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
096,Engine Electrical,RELAY & SENSOR (ENGINE),82501C,RELAY ASSEMBLY,82501GA240,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
096,Engine Electrical,RELAY & SENSOR (ENGINE),25232,RELAY,25232AA020,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
096,Engine Electrical,RELAY & SENSOR (ENGINE),25229,RELAY & BRACKET ASSEMBLY,25229AA001,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
096,Engine Electrical,RELAY & SENSOR (ENGINE),Q575006,TAPPING SCREW-HEXAGON HEAD,904575006,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
096,Engine Electrical,RELAY & SENSOR (ENGINE),22438,IGNITER ASSEMBLY,22438AA043,01,02.1997 - 02.1998,EJ20E +EJ25D,,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
096,Engine Electrical,RELAY & SENSOR (ENGINE),22438,IGNITER ASSEMBLY,22438AA04A,01,03.1998 - 11.1998,EJ20E +EJ25D,,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
114,Manual Transmission,"MT, MAIN SHAFT",32610,SLEEVE & HUB ASSEMBLY-NO.2,32610AA061,01,02.1997 - 11.1998,,MT.(EJ20E+EJ25D),EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
117,Manual Transmission,"MT, SPEEDOMETER GEAR",32714,GEAR-SPEEDOMETER DRIVEN,32714AA051,01,01.12.1995 - 31.07.1997,F4W.MT.(EJ20E+EJ20D),lean burn model excluding,EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
119,Manual Transmission,"MT, TRANSMISSION HARNESS",20786,CLIP-AIR SUSPENSION,21046GA070,01,01.12.1995 - 31.07.1997,MT.(EJ18E+EJ20E+EJ20D),,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
119,Manual Transmission,"MT, TRANSMISSION HARNESS",24232A,"CLIP-NO.3,A",425665500,01,01.12.1995 - 31.07.1997,MT.(EJ18E+EJ20E+EJ20D),,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
199,Differential Propeller,PROPELLER SHAFT,27111,PROPELLER SHAFT ASSEMBLY,27031AC140,01,01.06.1997 - 30.11.1998,F4W#.AT.(EJ18E+EJ20E+EJ20D),,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
348,Steering,OIL PUMP,34430,PUMP-POWER STEERING,34411AC080,01,02.1997 - 11.1998,S.(EJ20E+EJ25D) +W,,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
348,Steering,OIL PUMP,34450,PULLEY-POWER STEERING,34414AA010,02,02.1997 - 11.1998,S.(EJ20E+EJ25D) +W,,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
371,Steering,ACCEL CABLE,37114,CABLE ASSEMBLY-ACCELERATOR,37114AC030,01,02.1997 - 11.1998,2W.(MT+AT).EJ20E +F4W.LX.MT.A/S +(MT+AT).EJ25D,,EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
415,Engine Mounting Cooling,DIFFERENTIAL MOUNTING,41331C,BRACKET-DIFFERENTIAL MOUNTING RIGHT,41321AC070,01,01.06.1997 - 30.11.1998,F4W.(EJ18E+EJ20E+EJ20D),,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
415,Engine Mounting Cooling,DIFFERENTIAL MOUNTING,41331D,BRACKET-DIFFERENTIAL MOUNTING LEFT,41321AC090,01,01.06.1997 - 30.11.1998,F4W.(EJ18E+EJ20E+EJ20D),,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
420,Engine Mounting Cooling,FUEL PIPING,42084A,"VALVE,2 WAY",42084PA050,01,02.1997 - 11.1998,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
420,Engine Mounting Cooling,FUEL PIPING,42035,CANISTER,42036AA000,01,02.1997 - 11.1998,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
420,Engine Mounting Cooling,FUEL PIPING,42051B,"GROMMET-FUEL PIPE,REAR",42046AA020,01,02.1997 - 11.1998,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
420,Engine Mounting Cooling,FUEL PIPING,42052C,BRACKET COMPLETE-CANISTER,42050AA000,01,02.1997 - 11.1998,EJ18E +2W.EJ20E +EJ20E.A/S +EJ25D,,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
